operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,53,49,59,3602,3508,3670
100000,1000000,62,60,66,16169,15985,16347
200000,200000,53,50,59,4845,4781,4883
200000,1000000,62,61,65,18199,17793,19231
500000,200000,53,52,56,8188,8069,8339
500000,1000000,61,58,66,21794,20611,23676
700000,200000,52,49,59,9033,8836,9287
700000,1000000,62,58,65,21816,21616,22135
1000000,200000,53,49,60,11881,11630,12124
1000000,1000000,61,58,64,27122,24811,35588
