operate_size,tree_size,avg_stash,min_stash,max_stash,avg_time,min_time,max_time
100000,200000,0,0,0,0,0,0
100000,1000000,0,0,0,0,0,0
200000,200000,0,0,0,0,0,0
200000,1000000,0,0,0,0,0,0
500000,200000,0,0,0,0,0,0
500000,1000000,0,0,0,0,0,0
700000,200000,0,0,0,0,0,0
700000,1000000,0,0,0,0,0,0
